problem,algorithm,time-required,space-required,solution,optimal-solution,solution-quality,problem-size
a280,branch-and-bound,1800,,,2579,,280
bier127,branch-and-bound,1800,,,118282,,127
brd14051,branch-and-bound,1800,,,469385,,14051
d1291,branch-and-bound,1800,,,50801,,1291
d15112,branch-and-bound,1800,,,1573084,,15112
d1655,branch-and-bound,1800,,,62128,,1655
d18512,branch-and-bound,1800,,,645238,,18512
d198,branch-and-bound,1800,,,15780,,198
d2103,branch-and-bound,1800,,,80450,,2103
d493,branch-and-bound,1800,,,35002,,493
d657,branch-and-bound,1800,,,48912,,657
eil101,branch-and-bound,1800,,,629,,101
eil51,branch-and-bound,1800,,,426,,51
eil76,branch-and-bound,1800,,,538,,76
fl1400,branch-and-bound,1800,,,20127,,1400
fl1577,branch-and-bound,1800,,,22249,,1577
fl3795,branch-and-bound,1800,,,28772,,3795
fl417,branch-and-bound,1800,,,11861,,417
fnl4461,branch-and-bound,1800,,,182566,,4461
gil262,branch-and-bound,1800,,,2378,,262
nrw1379,branch-and-bound,1800,,,56638,,1379
p654,branch-and-bound,1800,,,34643,,654
pcb1173,branch-and-bound,1800,,,56892,,1173
pcb3038,branch-and-bound,1800,,,137694,,3038
pcb442,branch-and-bound,1800,,,50778,,442
pr1002,branch-and-bound,1800,,,259045,,1002
pr107,branch-and-bound,1800,,,44303,,107
pr124,branch-and-bound,1800,,,59030,,124
pr136,branch-and-bound,1800,,,96772,,136
pr144,branch-and-bound,1800,,,58537,,144
pr152,branch-and-bound,1800,,,73682,,152
pr226,branch-and-bound,1800,,,80369,,226
pr2392,branch-and-bound,1800,,,378032,,2392
pr264,branch-and-bound,1800,,,49135,,264
pr299,branch-and-bound,1800,,,48191,,299
pr439,branch-and-bound,1800,,,107217,,439
pr76,branch-and-bound,1800,,,108159,,76
rat195,branch-and-bound,1800,,,2323,,195
rat575,branch-and-bound,1800,,,6773,,575
rat783,branch-and-bound,1800,,,8806,,783
rat99,branch-and-bound,1800,,,1211,,99
rd100,branch-and-bound,1800,,,7910,,100
rd400,branch-and-bound,1800,,,15281,,400
rl11849,branch-and-bound,1800,,,923288,,11849
rl1304,branch-and-bound,1800,,,252948,,1304
rl1323,branch-and-bound,1800,,,270199,,1323
rl1889,branch-and-bound,1800,,,316536,,1889
rl5915,branch-and-bound,1800,,,565530,,5915
rl5934,branch-and-bound,1800,,,556045,,5934
ts225,branch-and-bound,1800,,,126643,,225
tsp225,branch-and-bound,1800,,,3916,,225
u1060,branch-and-bound,1800,,,224094,,1060
u1432,branch-and-bound,1800,,,152970,,1432
u159,branch-and-bound,1800,,,42080,,159
u1817,branch-and-bound,1800,,,57201,,1817
u2152,branch-and-bound,1800,,,64253,,2152
u2319,branch-and-bound,1800,,,234256,,2319
u574,branch-and-bound,1800,,,36905,,574
u724,branch-and-bound,1800,,,41910,,724
usa13509,branch-and-bound,1800,,,19982859,,13509
vm1084,branch-and-bound,1800,,,239297,,1084
vm1748,branch-and-bound,1800,,,336556,,1748
